Institution,Generel trivsel,Faglig trivsel,Ro og orden,Social trivsel,Støtte og inspiration,Karaktergennemsnit 2013-2020,Antal karakterer 2013-2020
Sønderborg International School,,,,,,7.31,13.0
Sønderbroskolen,3.7141625288,3.8226638813,3.6194344116,3.8226638813,3.3068491486,7.1574901186,506.0
Søndergades Skole,3.6028257525,3.6122953492,3.7928004524,3.6122953492,3.1914556667,7.0831422018,436.0
Sønderholm Skole,3.7358329667,3.6582458319,3.6659722083,3.6582458319,3.2494994034,7.3972477064,109.0
Sønderlandsskolen,3.574846796,3.5893468608,3.7103399405,3.5893468608,3.1746681705,6.9755928412,447.0
Søndermarkskolen,,,,,,7.1971936057,563.0
Søndermarksskolen,,,,,,6.6658509567,993.0
Sønderrisskolen Aura,3.832479086,3.919225819,4.1051245201,3.919225819,3.5079087098,7.578681672,311.0
Sønderskov-Skolen,3.5841403642,3.6430712972,3.6488095186,3.6430712972,3.2233492617,6.9256210526,475.0
Søndersøskolen,,,,,,7.8003099885,871.0
Søndervangskolen,,,,,,7.2620307692,650.0
Søndre Skole,,,,,,7.3134379458,701.0
Søren Kanne-Skolen,3.4958213782,3.5421780681,3.7183374542,3.5421780681,3.0729467899,6.4252554745,137.0
Sørvad-Ørnhøj Skole,3.6741488353,3.6218759235,3.7299019588,3.6218759235,3.0544938107,7.1035897436,156.0
Tagensbo Skole,3.5300813234,3.608277005,3.7027363085,3.608277005,3.2092333096,6.0968831169,231.0
Tallerupskolen,3.7287633016,3.6606187614,3.7024590164,3.6606187614,3.1355030787,7.8971304348,345.0
Tandslet Friskole,,,,,,7.3313207547,53.0
Tange Kristne Friskole,,,,,,7.1775,28.0
Tarm Skole,3.6539279643,3.6654188546,3.7174129313,3.6654188546,3.1108992246,6.7905726872,454.0
Tarup Skole,3.5553971982,3.7491139538,3.6371049939,3.7491139538,3.2422359325,7.6687591241,411.0
Terndrup Skole,,,,,,6.7698181818,110.0
Th. Langs Skole,,,,,,7.7529565217,345.0
Thomasskolen,,,,,,8.2000526316,190.0
Thorning Skole,3.5021283838,3.5842285645,3.8071808404,3.5842285645,3.1855730968,6.8614932127,221.0
Thorsgaard Efterskole,,,,,,6.0597619048,168.0
Thyborøn Efterskole,,,,,,4.2414285714,7.0
Thyborøn Skole,3.8241371038,3.6901158962,3.7712264151,3.6901158962,3.1429915283,6.7360588235,170.0
Thyholm Skole,3.7185235207,3.7318000553,3.8591820926,3.7318000553,3.3001988744,7.391484375,256.0
Thyland Idrætsefterskole,,,,,,5.5809677419,62.0
Thyregod Skole,3.501431106,3.4756351523,3.7389624702,3.4756351523,3.096514894,6.8387628866,291.0
Tibberupskolen,3.6660054728,3.7479492418,3.8376906318,3.7479492418,3.1872544793,7.8549597238,869.0
Tilst Skole,3.4918591239,3.6468210896,3.7842432902,3.6468210896,3.2369901066,6.7204873294,513.0
Tim Skole,3.7106056111,3.690661463,3.8456790123,3.690661463,3.4144616358,7.3725206612,242.0
Tinderhøj Skole,3.4038277586,3.4731026623,3.5118025665,3.4731026623,2.9542853261,6.4953303965,227.0
Tingagerskolen,3.5931943505,3.5968556446,3.7654040394,3.5968556446,3.1609864006,6.6449312377,509.0
Tingbjerg Skole,3.4781558108,3.6722618496,3.7656950628,3.6722618496,3.3065175882,5.7816666667,204.0
Tingkærskolen,3.4946029659,3.5725400788,3.7322866329,3.5725400788,2.9770757101,7.2151209677,248.0
Tinglev Skole,3.4870933096,3.6107033112,3.7727272626,3.6107033112,3.1157235635,6.8684848485,264.0
Tingløkkeskolen,3.7925499606,3.89586142,3.9773781903,3.89586142,3.4369707884,7.7850245098,408.0
Tingstrup Skole,3.7529050169,3.8150426751,3.8456090595,3.8150426751,3.3116480765,7.4891023339,557.0
Tirsdalens Skole,3.7259391744,3.5634515349,3.8576146061,3.5634515349,3.0206122914,7.2967448276,725.0
Tirstrup Idrætsefterskole,,,,,,6.0118987342,79.0
Tistrup Skole,3.5901673642,3.5857772356,3.6912331329,3.5857772356,3.0994249023,6.9363829787,188.0
Tjele Efterskole,,,,,,5.3695175439,228.0
Tjæreborg Skole Signatur,3.642435347,3.6783157064,3.806316589,3.6783157064,3.3133460275,7.5689547038,287.0
Tjørnegårdskolen,3.6930829023,3.7698106291,3.874806186,3.7698106291,3.355270893,6.9888811189,286.0
Tjørnegårdsskolen,3.7096612011,3.855542913,4.0178894864,3.855542913,3.2476833397,8.2615347722,417.0
Tjørnelyskolen,,,,,,7.0061290323,186.0
Toftegårdsskolen,,,,,,7.1618763326,469.0
Toftehøjskolen,3.4911466552,3.7060606082,3.628612711,3.7060606082,3.0288216433,7.2865530303,264.0
Toftevangskolen,3.6136513092,3.7254172214,3.6679389275,3.7254172214,3.1608865267,8.3526488095,336.0
Tofthøjskolen,3.5208649718,3.6222370169,3.6652380914,3.6222370169,3.0570883409,7.0355517241,290.0
Toftlund Skole,3.6663780664,3.6545700622,3.8191562863,3.6545700622,3.3240659627,6.5184210526,247.0
Tolstrup-Stenum Friskole,,,,,,7.1352941176,136.0
Tommerup Efterskole,,,,,,7.0274853801,171.0
Tommerup Skole,3.8175681161,3.7168889732,3.9665178571,3.7168889732,3.3190897679,7.2775,224.0
Toppedalskolen,3.7437872062,3.6289053958,3.8046875,3.6289053958,3.2330105208,6.5356198347,121.0
Tornhøjskolen,3.7681667536,3.7273686159,3.8731884058,3.7273686159,3.4279498986,5.5505590062,161.0
Torstorp Skole,3.4862077746,3.6307405,3.7359341815,3.6307405,3.2492664,6.9260217391,460.0
Tove Ditlevsens Skole,3.5730354722,3.6743584582,3.7789623305,3.6743584582,3.1067099808,7.101888412,466.0
Tovshøjskolen,3.5019867213,3.6197189032,3.9583333226,3.6197189032,3.3989848197,5.40808,125.0
Tranbjergskolen,3.418690993,3.6781331445,3.7771272389,3.6781331445,3.2117587012,7.0675555556,540.0
"Tranbjergskolen, afdeling Grønløkke Allé",,,,,,7.0140540541,37.0
"Tranbjergskolen, afdeling Kirketorvet",,,,,,7.4274576271,59.0
Tranegårdskolen,3.5537649468,3.9244715341,3.8685782509,3.9244715341,3.205186675,8.7825469169,373.0
Tre Falke Skolen,3.615340483,3.6206272816,3.6059730116,3.6206272816,2.8768406919,7.0274635569,343.0
Trekløverskolen,3.533672515,3.6773615824,3.7897153333,3.6773615824,3.257722867,7.0061149425,435.0
"Trekløverskolen, Afdeling Kjellerup",,,,,,6.9037396122,361.0
"Trekløverskolen, Silkeborg",3.6110627987,3.6737011763,3.6873661563,3.6737011763,3.1875021438,6.7492640693,231.0
Trekronergade Freinetskole,,,,,,7.9692413793,145.0
Trekronerskolen,,,,,,8.5200359066,557.0
Trelleborg Friskole,,,,,,6.1644715447,123.0
Trongårdsskolen,3.7322497003,3.9357967657,3.8726689965,3.9357967657,3.2907578711,7.9624705882,425.0
Tronsø Efterskole og Fri Fagskole,,,,,,5.6409210526,76.0
True North Efterskole Snaptun,,,,,,7.1821354167,384.0
Trunderup Friskole,,,,,,6.4409090909,33.0
Trællerupskolen,3.6128783103,3.6077482847,3.7097701103,3.6077482847,3.0921953403,7.4726875,160.0
Trørødskolen,3.8337132664,3.9298888052,4.0654050418,3.9298888052,3.506785304,8.2110917031,687.0
Tune Skole,3.3670434457,3.6091955273,3.6499094158,3.6091955273,3.1629813106,6.7809794989,439.0
Tungelundskolen,3.5803052819,3.5845038717,3.6551418404,3.5845038717,3.2248673439,6.9321673004,263.0
"Tuse Skole, område Katrinedal",3.6048913534,3.6258047885,3.8230311346,3.6258047885,3.1979728512,6.9638951311,534.0
Tvis Skole,3.6252709051,3.7713509932,3.893220339,3.7713509932,3.1128970746,7.765,508.0
Tybjerg Privatskole,,,,,,7.470483871,62.0
"Tølløse Privat- og Efterskole, Baptisternes Efterskoler",,,,,,7.1395967742,248.0
"Tølløse Privat- og Efterskole, Baptisternes Skoler",,,,,,7.4300905797,552.0
"Tølløse Skole, område Kildedam",3.5188053422,3.5808894733,3.6640926641,3.5808894733,3.0709192519,6.8157142857,350.0
Tømmerup Fri- og Efterskole,,,,,,7.3645980707,311.0
Tønder Distriktsskole - Overbygningsskolen,3.6920533939,3.6666453091,3.8103535333,3.6666453091,3.1481381182,6.8086593843,1007.0
Tønning-Træden Friskole,,,,,,7.1333898305,59.0
Tørring Skole,3.6307165533,3.6376991516,3.8644125656,3.6376991516,3.1937778066,7.0586891386,267.0
Tårnborg Skole,3.3965053837,3.4734818941,3.448643407,3.4734818941,3.0559099529,6.4845505618,178.0
Tårs Skole,3.5246221183,3.5192109946,3.6747747622,3.5192109946,2.9951600326,6.4896153846,312.0
Tåsingeskolen,3.7083623564,3.6587678402,3.8854617532,3.6587678402,3.1921110864,7.309962963,540.0
Taastrup Realskole,,,,,,8.1313577982,545.0
Taastrup Ungdomsskole,,,,,,4.6229032258,31.0
"U/NORD, grundskoleafd. Hillerød",,,,,,5.2508333333,12.0
Ubberud Skole,3.4960948025,3.6459441063,3.5403726646,3.6459441063,3.0044065776,6.9234763948,233.0
Uglegårdsskolen,3.5559592401,3.7287641104,3.7815241217,3.7287641104,3.1426445759,7.9436652835,723.0
Uhre Friskole,,,,,,8.0058064516,93.0
Ulfborg Skole,3.6777473459,3.6261403081,3.7621621622,3.6261403081,3.1267048649,6.8384293194,191.0
Ulkebøl Skole,3.6105092308,3.7243374214,3.8375122861,3.7243374214,3.2024439467,7.1815421687,415.0
"Ullerup Bæk Skolen, Nr. Alle",3.6342189349,3.6555042515,3.7272502463,3.6555042515,3.0664466012,6.6018561151,695.0
"Ullerup Bæk Skolen, Skjoldborgsvej",3.5968989134,3.6478130473,3.7192028913,3.6478130473,3.3750254493,6.5593333333,60.0
Ulstrup Skole,3.5582925728,3.6357509151,3.7855450237,3.6357509151,3.2713265592,6.9109328358,268.0
Ungdomsskolens Heltidsundervisning,,,,,,4.4184848485,33.0
Unge2-projektet,,,,,,4.4527586207,29.0
Ungeuniverset-Vojens,3.679556345,3.5795113243,3.6553177665,3.5795113243,3.1085784319,6.4307692308,78.0
UngAalborg Uddannelsescenter,,,,,,4.3127777778,18.0
Usserød Skole,3.6451473709,3.7382756424,3.9224613642,3.7382756424,3.3365259106,8.0505580357,448.0
Utterslev Skole,3.655901558,3.7419118571,3.8168276932,3.7419118571,3.1926324565,7.0940950226,442.0
Vadgård Skole,3.5391793271,3.6643555813,3.7656249906,3.6643555813,3.2152960849,6.8926708075,322.0
Vadum Skole,3.6179419171,3.7074689378,3.7512953316,3.7074689378,3.1168882746,7.0836866359,217.0
Valby Skole,3.6050190737,3.6916213686,3.8344017019,3.6916213686,3.1344542484,6.5599692308,325.0
Valdemarskolen,,,,,,7.181,90.0
Valhøj Skole,3.5835331398,3.7195131752,3.8594594568,3.7195131752,3.143821973,7.3225121951,410.0
Vallekilde-Hørve Friskole,,,,,,8.1253636364,110.0
Vallensbæk Skole,3.471343024,3.710532632,3.888333324,3.710532632,3.3001812972,7.4317878788,330.0
Vallerødskolen,3.6287818083,3.8474131722,3.9017273529,3.8474131722,3.3924898964,8.3838715278,576.0
Vamdrup Skole,3.6351263224,3.7390661848,3.7678767855,3.7390661848,3.1800090264,7.1842346939,392.0
Vandel Efterskole,,,,,,6.8724277457,346.0
Vangeboskolen,3.6653587617,3.8340278411,3.839953271,3.8340278411,3.1980191542,8.5252427184,309.0
Vanløse Privatskole,,,,,,9.1406164384,146.0
Vanløse Skole,,,,,,6.5848760331,121.0
Vardeegnens Gymnasieforberedende Efterskole,,,,,,8.6564263323,319.0
Vedbæk Skole,3.6441792491,3.839891145,3.8737562164,3.839891145,3.248667,8.0211111111,351.0
Vedersø Idrætsefterskole,,,,,,7.0103819444,288.0
Vejen friskole,,,,,,7.1308130081,123.0
Vejgaard Østre Skole,3.6413664763,3.77670447,3.9467996633,3.77670447,3.3112419825,7.639520202,396.0
Vejlby skole,,,,,,8.0588571429,35.0
Vejle Friskole,,,,,,6.9579285714,140.0
Vejle Idrætsefterskole,,,,,,7.4820720721,333.0
Vejle Midtbyskole,3.5339242543,3.5812921211,3.6005747034,3.5812921211,3.1783552997,6.2103238866,494.0
Vejle Privatskole,,,,,,6.7280952381,42.0
Vejlebroskolen,3.4671076773,3.6578265963,3.6359446912,3.6578265963,3.3141870505,6.0563878327,263.0
Vejlefjordskolen (efterskole),,,,,,5.2402097902,143.0
Vejlefjordskolen (grundskole),,,,,,7.1914835165,182.0
Vejstrup Efterskole,,,,,,7.2011182109,313.0
Vemmedrupskolen,3.4271837278,3.6175298101,3.7327043962,3.6175298101,3.0655661899,6.9268161435,223.0
Vemmelev Skole,3.6314864659,3.671342625,3.873954595,3.671342625,3.3866014014,6.9917192982,285.0
Vendsyssel Friskole,,,,,,5.245,26.0
Venø Efterskole,,,,,,6.9463839286,224.0
VerdensBørn Grundskole,,,,,,7.764,5.0
Vestbirk Musik- & Sportsefterskole,,,,,,7.234432133,361.0
Vestbjerg Skole,3.7193441415,3.7328246334,3.9482850997,3.7328246334,3.2446482026,8.4348484848,264.0
Vestbyen Friskole,,,,,,8.2873913043,23.0
Vestegnens Privatskole,,,,,,7.9812466844,377.0
Vester Hassing Skole,3.6551526203,3.6006495752,3.8333333271,3.6006495752,3.056784406,7.388650519,289.0
Vester Hornum Skole,3.6554029178,3.6448948219,3.897260274,3.6448948219,3.205479,6.861010101,99.0
Vester Mariendal Skole,3.4720311107,3.6586477628,3.7992724841,3.6586477628,3.1657251818,7.6526793249,474.0
Vester Skerninge Friskole,,,,,,7.5719774011,177.0
Vesterborg Efterskole,,,,,,5.3744186047,86.0
Vesterbro Ny Skole,3.4687793009,3.7385700789,3.6862591411,3.7385700789,3.0897322019,7.0011574074,216.0
Vesterbølle Efterskole,,,,,,6.7937826087,230.0
Vesterdal Efterskole,,,,,,7.310994152,171.0
Vestergårdsskolen,3.464989241,3.6428134227,3.7688034103,3.6428134227,3.1200781495,6.6565497076,171.0
Vesterkærets Skole,3.7912518689,3.701022068,3.8996763689,3.701022068,3.2596744049,7.1055299539,217.0
Vesterlund Efterskole,,,,,,7.3015988372,344.0
Vestermarkskolen,,,,,,7.126846473,241.0
Vestermose Natur- og Idrætsfriskole,,,,,,6.7025806452,31.0
Vestervang Skole,3.6246320789,3.6405154303,3.6976929141,3.6405154303,3.1929703938,6.8842930591,389.0
Vestervangskolen,3.6812491391,3.686654804,3.7657284702,3.686654804,3.3162153688,7.1724553571,448.0
Vestervangsskolen,3.4845135786,3.5382349397,3.6849514505,3.5382349397,3.1023249825,6.7221493902,656.0
Vestfjendsskolen,3.7379385615,3.6594029535,3.7262820462,3.6594029535,3.2735160846,7.4138787879,165.0
Vestfyns Efterskole,,,,,,5.1418072289,83.0
Vestre Skole,,,,,,7.2804741609,1877.0
Vestsalling Skole og Dagtilbud,3.6872591412,3.6919848818,3.8482228617,3.6919848818,3.1713183948,6.9346276596,376.0
Vestsjællands Idrætsefterskole,,,,,,6.6482634731,167.0
Vestskolen,3.6631798895,3.7376752674,3.7561488602,3.7376752674,3.0696806019,7.5349601276,627.0
"Vestskolen, Nordskovskolen",3.5117568637,3.5616903764,3.771797838,3.5616903764,2.9809189097,6.8621487603,726.0
Vibeholmskolen,3.5676434368,3.6956845115,3.8009615346,3.6956845115,3.3560442481,6.1658169935,306.0
Vibenshus Skole,3.682855279,3.7696291486,3.6672727273,3.7696291486,3.1885537273,7.1580107527,372.0
Vibeskolen,3.6570098684,3.5567529803,3.6573464868,3.5567529803,3.1563592303,6.592744186,430.0
Viborg Private Realskole,,,,,,7.9671125,800.0
Viby Efterskole,,,,,,7.4322972973,74.0
Viby Friskole,,,,,,7.9881203008,133.0
Viby Skole,3.672171645,3.8224458077,3.8819974504,3.8224458077,3.374999584,7.4940939597,298.0
"Viby Skole, afdeling Bueager",3.6709602634,3.5547717411,3.6930803571,3.5547717411,2.9406795721,7.7078378378,296.0
"Viby Skole, afdeling Ørstedvej",3.406367304,3.5709861048,3.576666664,3.5709861048,3.12194244,7.1791705069,217.0
Videbæk Kristne Friskole,,,,,,8.311965812,234.0
Videbæk Skole,3.580840822,3.6280359068,3.7778954788,3.6280359068,3.0671323234,6.8165625,384.0
Vig Skole,3.3818817466,3.430311269,3.5245433699,3.430311269,3.1869782345,6.4611320755,53.0
Vigerslev Allés Skole,3.6795001236,3.7697115311,3.8120318315,3.7697115311,3.2614885408,6.5708960573,279.0
"Vigersted Skole, folkeskoleafd.",3.5272665371,3.5355346474,3.7660818655,3.5355346474,3.1417493023,6.8276038339,313.0
Vildbjerg Skole,3.7670593313,3.6746380994,3.8227911596,3.6746380994,3.2878366627,7.147782516,469.0
Vindblæs Friskole,,,,,,7.0229357798,109.0
Vinde Helsinge Friskole,,,,,,8.3106944444,144.0
Vinderup Realskole,,,,,,7.1545697897,523.0
Vinderød Privatskole,,,,,,8.2853623188,69.0
Vinding Skole,3.7219598642,3.8476949177,3.9969135802,3.8476949177,3.2945811975,7.7114358974,390.0
Vindinge Skole,3.6610355608,3.6559435135,3.8956915986,3.6559435135,3.2219107703,7.5665,20.0
"Vipperød Skole, område Kildedam",3.55526469,3.670207505,3.86,3.670207505,3.08014246,7.0123076923,299.0
Virklund Skole,3.70050405,3.8723648538,3.8208333308,3.8723648538,3.2784974788,7.7124477612,335.0
Virring Skole,3.4849404431,3.6160001714,3.7969387755,3.6160001714,3.2198602154,7.3048905109,274.0
Virum Skole,3.7143957864,3.9954696354,4.0093788413,3.9954696354,3.3686657035,9.104045584,702.0
Virupskolen,3.6460615857,3.8331256447,3.9042857114,3.8331256447,3.2619659339,8.011928934,394.0
Vissenbjerg Skole,3.6256347887,3.7289274258,3.8665730337,3.7289274258,3.2256572351,7.0032229581,453.0
Vitaskolen Bohr,3.7678899025,3.8346218949,3.9106516241,3.8346218949,3.2466899187,7.6525445026,955.0
Vittenbergskolen Vadehav,3.6294208449,3.7150220596,3.8628587185,3.7150220596,3.23984088,7.0712018141,441.0
Vittrup Efterskole,,,,,,5.815,18.0
Vivild Gymnastik- & Idrætsefterskole,,,,,,7.0268458781,279.0
Vodskov Skole,3.7652606686,3.759062088,3.872678393,3.759062088,3.3202797118,7.0520622568,514.0
Vojens Gymnastik- og Idrætsefterskole,,,,,,7.0494257426,505.0
Vokslev Friskole,,,,,,7.0829411765,17.0
Voldumegnens Friskole,,,,,,7.1028571429,14.0
Vonsild Skole,3.6277375348,3.7135495625,3.8106617647,3.7135495625,3.2205002721,7.3918206522,368.0
Vor Frue Skole,,,,,,8.1657142857,308.0
Vorbasse Skole,3.6717252925,3.6092476735,3.768707483,3.6092476735,3.2866208639,6.9253723404,188.0
Vorrevangskolen,3.6722972273,3.7511513011,3.9301169509,3.7511513011,3.2713610986,7.2084410646,263.0
Vorup Skole,,,,,,7.5124761905,105.0
Vostrup Efterskole - Skole for Musik og Teater,,,,,,7.0206779661,59.0
Vrigsted Efterskole,,,,,,4.9207224335,263.0
Vrå undervisningssted,3.5616872238,3.613888,3.6922183484,3.613888,3.1510689263,7.1682152231,381.0
Æblegård Friskole,,,,,,6.897027027,37.0
Ærø Friskole,,,,,,6.339375,16.0
Øbro Fri Skole,,,,,,8.0846808511,94.0
Ødsted Skole,3.5955611143,3.5749107251,3.6079365048,3.5749107251,2.933480319,7.0686699507,203.0
Øhavsskolen,3.6040140406,3.584555179,3.8367143962,3.584555179,3.2409644821,6.670140056,357.0
Ølgod Efterskole,,,,,,6.0821454545,275.0
Ølgod Kristne Friskole,,,,,,8.145,22.0
Ølgod Skole,3.6001710648,3.637647602,3.7134353707,3.637647602,3.1185433686,7.1896440129,309.0
Ørestad Friskole,,,,,,8.9040594059,101.0
Ørestad Skole,3.572504237,3.6319014062,3.7130208292,3.6319014062,3.0335511729,7.0773571429,140.0
Øresunds Internationale Skole,,,,,,7.6688461538,52.0
Ørstedskolen,3.6589644311,3.5990250553,3.6977861278,3.5990250553,3.1302203048,6.7144167963,643.0
Ørum Skole,,,,,,6.7641121495,428.0
Øse Efterskole,,,,,,6.6941634241,257.0
Østbirk Skole,3.5968035,3.6382369219,3.7970588235,3.6382369219,3.2349326016,7.4319387755,196.0
Øster Farimagsgades Skole,3.6535760044,3.8243031796,3.8079470177,3.8243031796,3.4278160554,8.180372093,430.0
Øster Jølby Friskole,,,,,,6.1028888889,90.0
Øster Jølby Skole,3.6497603816,3.6443446184,3.8980263158,3.6443446184,3.4854005395,6.0183018868,212.0
Øster Starup Skole,3.7385341418,3.8557649627,3.8146766119,3.8557649627,3.3217834851,7.4736423841,151.0
Øster Åby Friskole,,,,,,7.6419135802,162.0
Østerbro Lilleskole,,,,,,7.8716666667,30.0
Østerbroskolen,3.4990581196,3.7202118065,3.953804337,3.7202118065,3.4053440957,6.2920833333,168.0
Østerbyskolen,3.6968684382,3.766681318,3.9832155477,3.766681318,3.5199979117,6.9320527859,341.0
Østerhåbskolen,3.6702050978,3.7020145539,3.8134728921,3.7020145539,3.2215086892,7.3270278184,683.0
Østermarkskolen,3.8579547764,3.7954241486,3.8732157834,3.7954241486,3.3388163359,6.9337263158,475.0
Østerskov Efterskole,,,,,,6.6439726027,219.0
Østervangskolen,3.6678888613,3.7798482025,3.8263009831,3.7798482025,3.0738191561,7.4361022364,313.0
Østervangsskolen,,,,,,7.3870549451,455.0
Østhimmerlands Ungdomsskole,,,,,,7.2600361011,277.0
Østre Skole,,,,,,7.0662761194,1340.0
"Østskolen,  Rolloskolen",3.3975708706,3.4915533333,3.4830016567,3.4915533333,3.0608619502,6.48025,280.0
"Østskolen, Hylleholt Skole",3.7122606769,3.5427382769,3.7978632462,3.5427382769,3.1284000872,7.0791050584,257.0
"Østskolen, Karise Skole",3.623923,3.7572047895,3.6315789474,3.7572047895,3.3065158421,7.6933088235,272.0
Aabenraa Friskole,,,,,,7.7462068966,145.0
Åboulevarden,,,,,,6.4398039216,459.0
Åby Skole,3.7248972134,3.7913606122,3.6531746,3.7913606122,3.1040136378,6.86,413.0
Aabybro Efterskole,,,,,,6.5273538462,325.0
Åbybro Friskole,,,,,,7.5684946237,93.0
Aabybro Skole,3.7585936145,3.7756494618,3.7966232881,3.7756494618,3.2364277151,7.4741565217,575.0
Ådalens Privatskole,,,,,,8.3630921053,304.0
Ådalens Skole,3.5969996145,3.7509195507,3.8958333263,3.7509195507,3.2798136381,7.3575435816,631.0
"Ådalens Skole, afd. Nord",,,,,,7.2057142857,42.0
"Ådalens Skole, afd. Syd",,,,,,7.136,40.0
Ådalskolen,3.8256562667,3.7558950714,4.0944444,3.7558950714,3.8287297333,7.5308552632,152.0
Ådalskolen Bohr,3.5943977405,3.7520657769,3.9237179462,3.7520657769,3.4177651692,7.3160714286,28.0
Ådalsskolen,,,,,,7.1672189349,169.0
Ågård Efterskole,,,,,,7.2436363636,341.0
Aakjærskolen,3.5432122946,3.642464808,3.7125925867,3.642464808,3.1182712589,7.3521296296,324.0
Aalborg Efterskole,,,,,,5.8358490566,53.0
Aalborg Friskole,,,,,,7.4577777778,162.0
Aalestrup Naturefterskole,,,,,,6.3988284519,239.0
Ålestrup Realskole,,,,,,6.9461481481,405.0
Ålholm Skole,3.6379668023,3.7360250678,3.8531073446,3.7360250678,3.4139759209,6.4078894472,199.0
Aalykkeskolen,3.7342096904,3.6763306904,3.8532148782,3.6763306904,3.2458903401,7.618700361,277.0
Aarhus Efterskole,,,,,,8.1461672474,287.0
Århus Friskole,,,,,,7.2983458647,133.0
Århus Privatskole,,,,,,8.4014375,160.0
Aars Skole,3.6777302109,3.7380268571,3.9552154184,3.7380268571,3.4297695544,6.8077474403,293.0
Aarupskolen,3.5727765605,3.708165373,3.8041401242,3.708165373,3.276212828,7.2829247911,359.0
Aavangsskolen,3.454282349,3.4990928919,3.6666666588,3.4990928919,3.0688454441,6.3055607477,428.0
