Institution,Generel trivsel,Faglig trivsel,Ro og orden,Social trivsel,Støtte og inspiration,Karaktergennemsnit 2013-2020,Antal karakterer 2013-2020
Samsøgades Skole,3.5229046117,3.6855179512,3.8385922282,3.6855179512,3.1386958883,7.1286423841,302.0
Sanderumskolen,3.7125619224,3.8614584571,4.0180272082,3.8614584571,3.3490237582,7.8625900901,444.0
Sankt Annæ Gymnasiums Grundskole,3.8153113079,3.8007556617,3.838120566,3.8007556617,3.2358354319,8.6305636071,621.0
Sankt Annæ Skole,,,,,,7.8449489796,392.0
Sankt Ansgars Skole,,,,,,7.3545714286,140.0
Sankt Birgitta Skole,,,,,,7.7676164384,365.0
Sankt Helene Skole,3.6277552902,3.7553219333,3.7855555511,3.7553219333,3.3013388839,7.000515873,252.0
Sankt Nikolaj Skole,,,,,,7.4292655367,177.0
Sankt Petri Skole,,,,,,8.8665882353,255.0
Sct Hans Skole,3.5049139664,3.6911526592,3.8674136246,3.6911526592,3.1525817437,7.3011570248,484.0
Sct Ibs Skole,,,,,,7.9024328147,707.0
Sct. Albani Skole,,,,,,7.5173026316,152.0
Sct. Jacobi Skole,3.7366418075,3.7573674272,3.8039906103,3.7573674272,3.3098140047,6.5924390244,451.0
Sct. Joseph Skole,,,,,,7.9463959391,197.0
Sct. Joseph Søstrenes Skole,,,,,,8.0035652174,230.0
Sct. Joseph Søstrenes Skole S/I,,,,,,8.8547492625,339.0
Sct. Jørgens Skole,,,,,,7.0914225352,710.0
Sct. Knuds Skole,,,,,,7.4292857143,196.0
Sct. Mariæ Skole,,,,,,9.0640571429,175.0
Sct. Michaels Skole,,,,,,7.9510810811,333.0
Sct. Nicolai Skole,3.8467106507,3.9051605719,4.029109589,3.9051605719,3.517726274,7.6314438503,374.0
Sct. Norberts Skole,,,,,,8.0593979058,382.0
Sdr Felding Skole,3.7803063725,3.7681591645,4.0275938146,3.7681591645,3.4522544172,6.5695959596,198.0
Sdr Omme Skole,3.766206618,3.5767075141,3.8595505618,3.5767075141,3.2455586629,7.3075829384,211.0
Sdr Vang Skole,3.8406294596,3.8633241486,3.9904540712,3.8633241486,3.4192315046,7.6158360656,305.0
Sdr. Feldings Efterskole,,,,,,4.2319689119,193.0
Sdr. Nærå Friskole og Midtfyns Efterskole,,,,,,6.5586131387,274.0
